number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1090, 0.359487, 0.167381, 0.165964, 0.120842, 0.095708, 0.074023, 0.016595, 0.59894, 0.448104, 0.560828, 0.605476, 19.18
1091, 0.362662, 0.186881, 0.159235, 0.118126, 0.091672, 0.070418, 0.011005, 0.369394, 0.611085, 0.65173, 0.520421, 19.01
1092, 0.360158, 0.183165, 0.157413, 0.117604, 0.092931, 0.075546, 0.013183, 0.356111, 0.59967, 0.603665, 0.460854, 19.08
1093, 0.353064, 0.170666, 0.166824, 0.132184, 0.097415, 0.07338, 0.006466, 0.57181, 0.569174, 0.598093, 0.518059, 17.03
1094, 0.33337, 0.175996, 0.166954, 0.131607, 0.106043, 0.073499, 0.012531, 0.629335, 0.582362, 0.773826, 0.52776, 21.63
1095, 0.37304, 0.164208, 0.174645, 0.112005, 0.097293, 0.073805, 0.005004, 0.752119, 0.59305, 0.62524, 0.399386, 18.04
1096, 0.351778, 0.168065, 0.176325, 0.118076, 0.099978, 0.080766, 0.005012, 0.76383, 0.553982, 0.645458, 0.429275, 18.97
1097, 0.354268, 0.174254, 0.173257, 0.114809, 0.10209, 0.073678, 0.007643, 0.680237, 0.528565, 0.631294, 0.402884, 16.88
1098, 0.361692, 0.167423, 0.153244, 0.125483, 0.10215, 0.074801, 0.015207, 0.679685, 0.402728, 0.552612, 0.491216, 17.8
1099, 0.357957, 0.160825, 0.15239, 0.124855, 0.116195, 0.073365, 0.014414, 0.496266, 0.52383, 0.733507, 0.430035, 18.82
1100, 0.358523, 0.1631, 0.151417, 0.129608, 0.116163, 0.066408, 0.01478, 0.469055, 0.626945, 0.738409, 0.401845, 18.91
1101, 0.369399, 0.178151, 0.160084, 0.120848, 0.088543, 0.069243, 0.013733, 0.393048, 0.49824, 0.604922, 0.593508, 17.43
1102, 0.329057, 0.186561, 0.17587, 0.127863, 0.096795, 0.070765, 0.013089, 0.586167, 0.646764, 0.676387, 0.546777, 19.74
1103, 0.364706, 0.182895, 0.148303, 0.123611, 0.097069, 0.068716, 0.0147, 0.514225, 0.564362, 0.653139, 0.648411, 17.91
1104, 0.337611, 0.169632, 0.184693, 0.123166, 0.093693, 0.079096, 0.012109, 0.461369, 0.629999, 0.647633, 0.515405, 17.7
1105, 0.358504, 0.169946, 0.173404, 0.123418, 0.099198, 0.070068, 0.005462, 0.509898, 0.616015, 0.513574, 0.308505, 17.75
1106, 0.369993, 0.167587, 0.17174, 0.114431, 0.093176, 0.071005, 0.012068, 0.544166, 0.424761, 0.582313, 0.54896, 18.08
1107, 0.367037, 0.170643, 0.164052, 0.121479, 0.090585, 0.07109, 0.015113, 0.521143, 0.538665, 0.578414, 0.556343, 19.49
1108, 0.360115, 0.176343, 0.162152, 0.122422, 0.094852, 0.066986, 0.01713, 0.68865, 0.507689, 0.684961, 0.652781, 18.66
