number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2110, 0.360623, 0.176413, 0.162429, 0.123542, 0.095554, 0.073755, 0.007684, 0.63151, 0.493421, 0.396723, 0.404051, 18.84
2111, 0.370219, 0.180403, 0.148813, 0.120312, 0.096871, 0.066993, 0.01639, 0.606345, 0.587647, 0.545932, 0.501486, 18.74
2112, 0.346721, 0.169514, 0.147222, 0.141247, 0.110731, 0.063862, 0.020703, 0.556569, 0.599217, 0.627005, 0.36771, 19.96
2113, 0.381296, 0.165372, 0.148339, 0.127093, 0.097385, 0.064048, 0.016468, 0.519387, 0.622616, 0.503179, 0.262775, 17.12
2114, 0.347221, 0.1702, 0.148045, 0.139642, 0.112173, 0.06323, 0.019489, 0.649402, 0.61191, 0.569267, 0.442331, 18.2
2115, 0.366635, 0.163138, 0.150582, 0.126433, 0.107445, 0.069504, 0.016263, 0.537131, 0.631851, 0.590454, 0.287181, 17.5
2116, 0.335051, 0.177063, 0.16082, 0.136428, 0.100782, 0.071896, 0.01796, 0.516244, 0.699124, 0.594387, 0.392413, 18.4
2117, 0.332081, 0.171463, 0.16025, 0.135484, 0.110866, 0.073248, 0.016609, 0.528052, 0.772647, 0.653673, 0.430097, 17.42
2118, 0.336567, 0.173235, 0.158601, 0.137248, 0.103672, 0.072029, 0.018647, 0.42641, 0.619451, 0.54688, 0.390605, 18.63
2119, 0.362981, 0.167014, 0.158335, 0.126055, 0.097789, 0.066586, 0.021241, 0.547112, 0.468683, 0.637784, 0.774773, 18.56
2120, 0.332184, 0.172643, 0.164853, 0.131755, 0.10287, 0.078215, 0.01748, 0.486033, 0.543122, 0.650113, 0.51148, 19.82
2121, 0.330247, 0.177447, 0.168262, 0.130173, 0.104064, 0.073438, 0.016369, 0.515346, 0.715925, 0.688891, 0.442677, 20.02
2122, 0.326246, 0.178303, 0.164758, 0.137118, 0.106151, 0.071472, 0.015952, 0.508878, 0.725889, 0.732049, 0.603151, 18.15
2123, 0.338348, 0.168853, 0.154103, 0.138674, 0.106223, 0.076208, 0.017591, 0.506784, 0.56719, 0.497513, 0.433154, 19.28
2124, 0.350609, 0.17271, 0.163514, 0.128807, 0.102004, 0.065874, 0.016482, 0.510143, 0.692574, 0.629374, 0.381572, 19.72
2125, 0.342242, 0.174245, 0.157336, 0.135114, 0.101478, 0.072676, 0.01691, 0.572064, 0.804064, 0.70793, 0.487203, 17.54
2126, 0.344508, 0.174927, 0.16046, 0.131468, 0.100886, 0.071174, 0.016577, 0.474246, 0.568194, 0.724896, 0.63833, 20.95
2127, 0.327367, 0.187765, 0.161044, 0.131353, 0.106219, 0.064329, 0.021923, 0.677973, 0.528891, 0.705838, 0.839893, 20.13
2128, 0.325546, 0.167276, 0.16235, 0.14761, 0.108644, 0.069384, 0.019189, 0.575732, 0.653337, 0.7184, 0.473876, 20.6
2129, 0.344727, 0.168466, 0.153222, 0.128197, 0.110527, 0.072115, 0.022745, 0.558476, 0.703741, 0.625387, 0.325383, 19.38
2130, 0.387439, 0.177542, 0.14096, 0.119733, 0.092483, 0.065608, 0.016234, 0.351287, 0.432411, 0.477987, 0.438107, 17.51
2131, 0.361744, 0.17072, 0.151352, 0.128095, 0.104472, 0.067789, 0.015828, 0.527275, 0.631649, 0.607987, 0.424168, 18.74
2132, 0.356368, 0.16715, 0.156098, 0.131961, 0.10019, 0.066701, 0.021531, 0.365755, 0.667264, 0.559527, 0.332834, 18.81
