ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outerwear
6011, #6011, Blue, Emperor, Pink, Long, Side-eye, , Grail, 
6012, #6012, Purple, Stark, Gray, Small, Open, , Raincloud, Hoodie Down
6013, #6013, Green, Crescent, Red, Small, Adorable, , Rubber Duck, 
6014, #6014, Yellow, Crescent, Brown, Short, Open, , Forest Ranger, Hoodie Down
6015, #6015, Yellow, Crescent, Brown, Short, Discerning, , Durag, Hoodie Down
6016, #6016, Yellow, Crescent, Brown, Small, Angry, , , Hoodie
6017, #6017, Blue, Stark, Brown, Short, Relaxed, , , 
6018, #6018, Yellow, Tabby, Red, Long, Side-eye, , Raincloud, 
6019, #6019, Blue, Crescent, Gray, Short, Side-eye, , Beanie, Gold Chain
6020, #6020, Purple, Crescent, Black, Small, Open, , Aviator's Cap, 
6021, #6021, Yellow, Guardian, Red, Small, Relaxed, , , Punk Jacket
6022, #6022, Gray, Stark, Brown, Short, Discerning, , Moon Hat, 
6023, #6023, Blue, Professor, Blue, Short, Side-eye, , , 
6024, #6024, Yellow, Crescent, Blue, Small, Open, , Beanie, 
6025, #6025, Yellow, Stark, Green, Short, Side-eye, , Fire, 
6026, #6026, Green, Crescent, White, Short, Open, , Moon Hat, 
6027, #6027, Green, Emperor, White, Short, , 3D Glasses, Tiny Crown, 
6028, #6028, Pink, Crescent, Red, Small, , Sunglasses, Diamond, 
6029, #6029, Green, Tabby, Red, Short, Discerning, , Forest Ranger, 
6030, #6030, Yellow, Stark, White, Small, , Jobs Glasses, , 
6031, #6031, Yellow, Tranquil, Red, Small, Open, Half-moon Spectacles, Skully, 
6032, #6032, Blue, Crescent, Red, Small, Discerning, , Lincoln, 
6033, #6033, Blue, Crescent, Pink, Short, Open, Big Tech, Mohawk (Green), Gold Chain
6034, #6034, Yellow, Crescent, Gray, Short, Open, , Beanie, 
6035, #6035, Yellow, Crescent, Gray, Small, Relaxed, , Skully, Jean Jacket
6036, #6036, Gray, Crescent, Gray, Small, Heart, , Mohawk (Pink), 
6037, #6037, Green, Tabby, Purple, Short, , Visor, Diamond, 
6038, #6038, Yellow, Tranquil, Purple, Small, Discerning, , Mohawk (Pink), 
6039, #6039, Purple, Professor, Green, Short, Side-eye, , Gremplin, 
6040, #6040, Blue, Tranquil, Pink, Long, Open, , Halo, 
6041, #6041, Blue, Crescent, Red, Small, Angry, , Tiny Crown, 
6042, #6042, Pink, Professor, Pink, Short, , Visor, , 
6043, #6043, Yellow, Crescent, Black, Small, Angry, , Aviator's Cap, 
6044, #6044, Purple, Tabby, Brown, Short, Adorable, , Gremplin, 
6045, #6045, Pink, Crescent, Black, Small, , Jobs Glasses, Witch's Hat, 
6046, #6046, Gray, Stark, Red, Small, Adorable, Half-moon Spectacles, Captain's Cap, 
6047, #6047, Gray, Crescent, Black, Small, Relaxed, , , Hoodie
6048, #6048, Yellow, Crescent, Gray, Small, , Rose-Colored Glasses, Witch's Hat, 
6049, #6049, Pink, Guardian, Red, Short, Side-eye, , Queen's Crown, 
6050, #6050, Green, Emperor, White, Small, Open, , , 
6051, #6051, Purple, Crescent, Red, Short, Discerning, , , Hoodie
6052, #6052, Yellow, Stark, Blue, Small, Open, , Moon Hat, 
6053, #6053, Purple, Crescent, Pink, Long, Open, , Raincloud, 
6054, #6054, Pink, Crescent, Purple, Small, Discerning, , Wizard's Hat, Gold Chain
6055, #6055, Green, Tabby, Brown, Short, Angry, , Skully, 
6056, #6056, Gray, Tranquil, Purple, Short, , Sunglasses, , 
6057, #6057, Blue, Tabby, Red, Long, Open, , Dancing Flame, 
6058, #6058, Gray, Guardian, Green, Small, Heart, , Bow, 
6059, #6059, Pink, Tabby, Red, Small, Angry, , Bandana, 
6060, #6060, Yellow, Brave, Green, Short, Side-eye, , Karate Band, Diamond Necklace
6061, #6061, Yellow, Crescent, Gray, Short, Adorable, , Witch's Hat, Diamond Necklace
6062, #6062, Gray, Tabby, Black, Short, , Rose-Colored Glasses, , 
6063, #6063, Gray, Tranquil, White, Small, Open, , Queen's Crown, 
6064, #6064, Yellow, Skeleton, Bone, Short, , Rose-Colored Glasses, Mohawk (Pink), 
6065, #6065, Pink, Brave, Brown, Long, Angry, , , 
6066, #6066, Yellow, Professor, Red, Short, Relaxed, , , Jean Jacket
6067, #6067, Green, Tranquil, Gray, Short, Open, , Mohawk (Pink), 
6068, #6068, Blue, Tabby, Brown, Short, Open, , Gremplin, 
6069, #6069, Gray, Tabby, Black, Short, Side-eye, , Queen's Crown, 
6070, #6070, Green, Stark, Pink, Small, Relaxed, , Fire, 
6071, #6071, Pink, Crescent, Purple, Short, Open, , Tiny Crown, 
6072, #6072, Purple, Crescent, Brown, Short, Relaxed, , , Hoodie
6073, #6073, Purple, Emperor, Brown, Long, , Aviators, , 
6074, #6074, Yellow, Professor, Black, Short, Open, , , 
6075, #6075, Blue, Crescent, Brown, Long, Adorable, , Captain's Cap, 
6076, #6076, Gray, Crescent, Green, Long, Side-eye, , Tiny Crown, 
6077, #6077, Pink, Tranquil, Red, Small, Relaxed, Eyepatch, Gremplin, 
6078, #6078, Gray, Crescent, Black, Long, Open, , , Gold Chain
6079, #6079, Blue, Tranquil, White, Short, , Gazelles, Space Helmet, 
6080, #6080, Green, Crescent, Brown, Short, Heart, , Hero's Cap, Hero's Tunic
6081, #6081, Blue, Professor, Black, Short, , Sunglasses, Gremplin, 
6082, #6082, Green, Brave, Black, Long, Open, , , Hoodie Down
6083, #6083, Blue, Crescent, Gray, Small, Adorable, , Pirate's Hat, 
6084, #6084, Gray, Crescent, Blue, Short, Relaxed, , Bandana, 
6085, #6085, Yellow, Crescent, Purple, Long, Side-eye, Eyepatch, Lincoln, 
6086, #6086, Blue, Crescent, Red, Short, Rainbow, , Lincoln, 
6087, #6087, Gray, Crescent, Purple, Short, Open, , Bucket Hat, 
6088, #6088, Yellow, Crescent, Blue, Short, , Sunglasses, Tiara, 
6089, #6089, Blue, Crescent, Gray, Short, Open, , , 
6090, #6090, Gray, Tabby, Red, Short, Angry, , , Hoodie Down
6091, #6091, Yellow, Tranquil, Blue, Small, , Jobs Glasses, Skully, 
6092, #6092, Purple, Stark, Black, Long, Fire, , Diamond, 
6093, #6093, Green, Stark, Blue, Small, Adorable, Half-moon Spectacles, Tiny Crown, 
6094, #6094, Blue, Tranquil, Blue, Small, Side-eye, , , 
6095, #6095, Blue, Tabby, White, Long, Side-eye, , Headphones, 
6096, #6096, Blue, Brave, Gray, Small, Open, , Bandana, 
6097, #6097, Green, Guardian, Purple, Small, , 3D Glasses, Crescent Talisman, 
6098, #6098, Blue, Brave, Brown, Small, Relaxed, , Crescent Talisman, 
6099, #6099, Purple, Brave, Red, Small, Discerning, , , 
6100, #6100, Purple, Guardian, Gray, Small, Discerning, , , 
6101, #6101, Yellow, Sage, Pink, Small, Side-eye, , , 
6102, #6102, Blue, Crescent, Purple, Small, , Jobs Glasses, , 
6103, #6103, Green, Professor, Red, Small, Open, , Headband, 
6104, #6104, Green, Crescent, Purple, Small, Heart, , Queen's Crown, 
6105, #6105, Gray, Crescent, Purple, Small, Relaxed, , Cowboy Hat, 
6106, #6106, Pink, Guardian, Brown, Short, Open, , , Gold Chain
6107, #6107, Pink, Stark, Red, Long, Open, , , 
6108, #6108, Green, Stark, Black, Short, Side-eye, , Crescent Talisman, 
6109, #6109, Green, Stark, Gray, Short, Open, , , Hoodie Down
6110, #6110, Green, Skeleton, Bone, Short, , Visor, , 
6111, #6111, Yellow, Professor, Green, Short, Relaxed, , Flower, 
6112, #6112, Yellow, Crescent, White, Small, Relaxed, , Space Helmet, 
6113, #6113, Purple, Professor, Blue, Long, , Aviators, Bandana, 
6114, #6114, Yellow, Stark, Gray, Short, Diamond, , , 
6115, #6115, Yellow, Crescent, White, Small, Rainbow, , Mohawk (Pink), 
6116, #6116, Green, Crescent, Red, Small, Rainbow, , Witch's Hat, Hoodie Down
6117, #6117, Green, Tranquil, Gray, Small, Open, , , Punk Jacket
6118, #6118, Purple, Tabby, Blue, Short, Relaxed, , Halo, 
6119, #6119, Purple, Tranquil, Red, Short, Open, , Gremplin, 
6120, #6120, Gray, Crescent, Blue, Short, Open, , , Hoodie
6121, #6121, Pink, Emperor, Blue, Long, Adorable, , Headband, 
6122, #6122, Blue, Crescent, Pink, Small, Angry, , Beanie, 
6123, #6123, Purple, Emperor, Gray, Short, Side-eye, , , 
6124, #6124, Gray, Stark, Brown, Small, Angry, , Moon Hat, 
6125, #6125, Pink, Crescent, Red, Small, Discerning, , Fire, 
6126, #6126, Blue, Tranquil, Blue, Long, Open, , Mohawk (Green), 
